startTimeMs,words
13020,Un canard dans le café
18480,"J'ai du mal à digérer, parfois"
23750,Tous les papiers mâchés
29020,Qui se prennent à mon filet
32010,"De voix, pauvre pêcheur"
36830,"Han, 'fallait lire entre mes lignes"
42590,Et pas mordre à mes sautes d'humeur
47970,Même si je n'en suis pas digne
53350,Fallait rester zen
55340,Soyons zen
58110,Du sang-froid dans les veines
60250,Soyons zen
63600,Plus de chocs à la chaîne
65480,"Zen, restons zen"
68870,Du calme à la vie comme à la scène
73880,Sans amour et sans haine
82640,J'suis pas dans l'vent des guignols
87580,De ces joueurs en fond de court
90620,"De ceux qui, pour un p'tit bout d'atoll"
97750,Sont prêts à larguer les amours
101360,Tous ces maîtres chanteurs
106210,"Ha, qui manquent de coffre et de cœur"
111650,C'est facile de compter les erreurs
117550,Quand on ne joue pas la scène
122530,L'erreur est humaine
124680,Soyons zen
127440,Du sang-froid dans les veines
129690,Soyons zen
132920,Plus de chocs à la chaîne
134940,"Zen, restons zen"
138190,Du calme à la vie comme à la scène
143550,Sans amour et sans haine
148730,"Zen, zen"
159430,"Zen, zen"
166780,"Zen, restons zen"
170360,Du sang-froid dans les veines
173560,Zen
175480,Plus de scoops à la chaîne
178920,Zen
181010,Idem à la vie comme à la scène
186210,Sans amour et sans haine
192940,Zen
196660,"Oh, sans amour et sans haine"
203520,Zen
207220,Oh sans amour et sans haine (soyons zen)
214230,Zen
216010,
